dateid,areaID,deaths
20201118,ce,146
20201118,kk,61
20201118,kp,9
20201118,kr,146
20201118,lj,200
20201118,mb,155
20201118,ms,112
20201118,ng,40
20201118,nm,83
20201118,po,11
20201118,sg,61
20201118,si,1047
20201118,za,22
20201117,ce,142
20201117,kk,61
20201117,kp,7
20201117,kr,142
20201117,lj,194
20201117,mb,150
20201117,ms,106
20201117,ng,37
20201117,nm,77
20201117,po,9
20201117,sg,58
20201117,si,1004
20201117,za,20
20201116,ce,140
20201116,kk,61
20201116,kp,7
20201116,kr,136
20201116,lj,186
20201116,mb,138
20201116,ms,97
20201116,ng,33
20201116,nm,75
20201116,po,8
20201116,sg,57
20201116,si,959
20201116,za,20
20201115,ce,140
20201115,kk,61
20201115,kp,7
20201115,kr,131
20201115,lj,178
20201115,mb,132
20201115,ms,86
20201115,ng,31
20201115,nm,68
20201115,po,7
20201115,sg,54
20201115,si,915
20201115,za,19
20201114,ce,133
20201114,kk,60
20201114,kp,7
20201114,kr,128
20201114,lj,169
20201114,mb,127
20201114,ms,83
20201114,ng,30
20201114,nm,64
20201114,po,7
20201114,sg,53
20201114,si,881
20201114,za,19
20201113,ce,129
20201113,kk,60
20201113,kp,6
20201113,kr,121
20201113,lj,161
20201113,mb,123
20201113,ms,81
20201113,ng,28
20201113,nm,62
20201113,po,7
20201113,sg,51
20201113,si,849
20201113,za,19
20201112,ce,125
20201112,kk,58
20201112,kp,6
20201112,kr,117
20201112,lj,155
20201112,mb,115
20201112,ms,75
20201112,ng,25
20201112,nm,59
20201112,po,7
20201112,sg,48
20201112,si,808
20201112,za,17
20201111,ce,120
20201111,kk,57
20201111,kp,6
20201111,kr,110
20201111,lj,144
20201111,mb,109
20201111,ms,69
20201111,ng,25
20201111,nm,55
20201111,po,6
20201111,sg,46
20201111,si,765
20201111,za,17
20201110,ce,113
20201110,kk,57
20201110,kp,6
20201110,kr,105
20201110,lj,133
20201110,mb,96
20201110,ms,64
20201110,ng,24
20201110,nm,53
20201110,po,5
20201110,sg,43
20201110,si,716
20201110,za,16
20201109,ce,110
20201109,kk,56
20201109,kp,5
20201109,kr,95
20201109,lj,127
20201109,mb,89
20201109,ms,62
20201109,ng,19
20201109,nm,50
20201109,po,4
20201109,sg,39
20201109,si,673
20201109,za,16
20201108,ce,106
20201108,kk,56
20201108,kp,5
20201108,kr,92
20201108,lj,118
20201108,mb,88
20201108,ms,60
20201108,ng,16
20201108,nm,48
20201108,po,4
20201108,sg,37
20201108,si,645
20201108,za,15
20201107,ce,102
20201107,kk,55
20201107,kp,4
20201107,kr,91
