dateid,areaID,activeCases
20220101,lj,4990
20220101,mb,2477
20220101,ms,1114
20220101,ng,1145
20220101,nm,1427
20220101,po,382
20220101,sg,634
20220101,si,17970
20220101,za,366
20211231,ce,1655
20211231,kk,740
20211231,kp,1140
20211231,kr,1698
20211231,lj,4860
20211231,mb,2507
20211231,ms,1129
20211231,ng,1148
20211231,nm,1456
20211231,po,373
20211231,sg,667
20211231,si,17904
20211231,za,357
20211230,ce,1545
20211230,kk,731
20211230,kp,1089
20211230,kr,1652
20211230,lj,4779
20211230,mb,2481
20211230,ms,1140
20211230,ng,1163
20211230,nm,1426
20211230,po,363
20211230,sg,638
20211230,si,17524
20211230,za,346
20211229,ce,1440
20211229,kk,725
20211229,kp,1028
20211229,kr,1618
20211229,lj,4519
20211229,mb,2443
20211229,ms,1107
20211229,ng,1089
20211229,nm,1461
20211229,po,349
20211229,sg,653
20211229,si,16907
20211229,za,324
20211228,ce,1395
20211228,kk,725
20211228,kp,983
20211228,kr,1613
20211228,lj,4337
20211228,mb,2462
20211228,ms,1133
20211228,ng,1044
