dateID,sigla_provincia,totale_casi
20220409,TN,153252
20220409,VR,286679
20220409,VI,271907
20220409,BL,58788
20220409,TV,281809
20220409,VE,256364
20220409,PD,298432
20220409,RO,64213
20220409,UD,142920
20220409,GO,38554
20220409,TS,74914
20220409,PN,82486
20220409,IM,54713
20220409,SV,64713
20220409,GE,206949
20220409,SP,54612
20220409,PC,68741
20220409,PR,105155
20220409,RE,149423
20220409,MO,198860
20220409,BO,304773
20220409,FE,90704
20220409,RA,122086
20220409,FC,133441
20220409,RN,124411
20220409,MS,49409
20220409,LU,107855
20220409,PT,82515
20220409,FI,287073
20220409,LI,89341
20220409,PI,116550
20220409,AR,94126
20220409,SI,70379
20220409,GR,53532
20220409,PO,71774
20220409,PG,178866
20220409,TR,56181
20220409,PU,81211
20220409,AN,125200
20220409,MC,80993
20220409,AP,55546
20220409,FM,48448
20220409,VT,64456
20220409,RI,40409
20220409,RM,997293
20220409,LT,137798
20220409,FR,108246
20220409,AQ,71626
20220409,TE,83442
20220409,PE,76440
20220409,CH,92340
20220409,CB,38181
20220409,IS,13901
20220409,CE,225681
20220409,BN,54773
20220409,NA,818305
20220409,AV,85442
20220409,SA,251451
20220409,FG,144904
20220409,BA,315184
20220409,TA,127643
20220409,BR,89290
20220409,LE,193247
20220409,BT,89291
20220409,PZ,72068
20220409,MT,39393
20220409,CS,78613
20220409,CZ,43275
20220409,RC,125671
20220409,KR,32691
20220409,VV,35350
20220409,TP,77779
20220409,PA,244776
20220409,ME,143263
20220409,AG,79537
20220409,CL,62513
20220409,EN,29934
20220409,CT,214359
20220409,RG,75261
20220409,SR,92811
20220409,SS,69200
20220409,NU,35468
20220409,CA,67806
20220409,OR,28244
20220409,SU,44147
20220408,TO,569749
20220408,VC,38051
20220408,NO,81124
20220408,CN,139310
20220408,AT,49827
20220408,AL,93675
20220408,BI,40846
20220408,VB,39351
20220408,AO,30488
20220408,VA,239520
20220408,CO,160506
20220408,SO,43471
20220408,MI,849233
20220408,BG,200031
20220408,BS,325543
20220408,PV,137054
20220408,CR,85467
20220408,MN,108653
20220408,LC,75912
20220408,LO,56391
20220408,MB,236525
20220408,BZ,188839
20220408,TN,152813
20220408,VR,285650
20220408,VI,270625
20220408,BL,58586
20220408,TV,280600
20220408,VE,255136
20220408,PD,297003
20220408,RO,63889
20220408,UD,142370
20220408,GO,38407
20220408,TS,74627
20220408,PN,82278
20220408,IM,54573
20220408,SV,64499
20220408,GE,206125
20220408,SP,54368
20220408,PC,68507
20220408,PR,104748
20220408,RE,148689
20220408,MO,198123
20220408,BO,303816
20220408,FE,90390
20220408,RA,121576
20220408,FC,133063
20220408,RN,124076
20220408,MS,49109
20220408,LU,107453
20220408,PT,82200
20220408,FI,286041
20220408,LI,88957
20220408,PI,116082
20220408,AR,93773
20220408,SI,70016
20220408,GR,53265
20220408,PO,71524
20220408,PG,178040
20220408,TR,55910
20220408,PU,80863
20220408,AN,124647
20220408,MC,80649
20220408,AP,55216
20220408,FM,48212
20220408,VT,64090
20220408,RI,40276
20220408,RM,991799
20220408,LT,137143
20220408,FR,107639
20220408,AQ,71243
20220408,TE,82940
20220408,PE,75945
20220408,CH,91667
20220408,CB,38040
20220408,IS,13862
20220408,CE,224545
20220408,BN,54345
20220408,NA,815228
20220408,AV,84773
20220408,SA,250031
20220408,FG,144162
20220408,BA,313255
20220408,TA,126879
20220408,BR,88755
20220408,LE,192199
20220408,BT,88884
20220408,PZ,71567
20220408,MT,39202
20220408,CS,77967
20220408,CZ,42682
20220408,RC,125059
20220408,KR,32514
20220408,VV,35281
20220408,TP,77310
20220408,PA,243690
20220408,ME,142655
20220408,AG,79139
20220408,CL,62281
20220408,EN,29769
20220408,CT,213570
20220408,RG,74954
20220408,SR,92421
20220408,SS,68680
20220408,NU,35220
20220408,CA,67339
20220408,OR,28244
20220408,SU,43920
20220407,TO,568037
20220407,VC,37957
20220407,NO,80897
20220407,CN,139002
20220407,AT,49630
20220407,AL,93220
20220407,BI,40749
20220407,VB,39249
20220407,AO,30423
20220407,VA,238752
20220407,CO,160019
20220407,SO,43348
20220407,MI,846326
20220407,BG,199449
20220407,BS,324455
20220407,PV,136616
20220407,CR,85170
20220407,MN,108156
20220407,LC,75572
20220407,LO,56251
20220407,MB,235790
20220407,BZ,188301
20220407,TN,152340
20220407,VR,284566
20220407,VI,269323
20220407,BL,58384
20220407,TV,279376
20220407,VE,253836
20220407,PD,295639
20220407,RO,63512
20220407,UD,141874
20220407,GO,38287
20220407,TS,74348
20220407,PN,82055
20220407,IM,54404
20220407,SV,64307
20220407,GE,205295
20220407,SP,54129
20220407,PC,68230
20220407,PR,104283
20220407,RE,148012
20220407,MO,197367
20220407,BO,302654
20220407,FE,90006
20220407,RA,121093
20220407,FC,132614
20220407,RN,123719
20220407,MS,48819
20220407,LU,106997
20220407,PT,81839
20220407,FI,284926
20220407,LI,88545
20220407,PI,115609
20220407,AR,93357
20220407,SI,69622
20220407,GR,52988
20220407,PO,71323
20220407,PG,177093
20220407,TR,55643
20220407,PU,80495
20220407,AN,124000
20220407,MC,80279
20220407,AP,54858
20220407,FM,47949
20220407,VT,63822
20220407,RI,40085
20220407,RM,986776
20220407,LT,136401
20220407,FR,107014
20220407,AQ,70884
20220407,TE,82417
20220407,PE,75488
20220407,CH,91049
20220407,CB,37750
20220407,IS,13784
20220407,CE,223312
20220407,BN,53922
20220407,NA,812009
20220407,AV,84024
20220407,SA,248488
20220407,FG,143502
20220407,BA,311413
20220407,TA,126109
20220407,BR,88199
20220407,LE,191125
20220407,BT,88479
20220407,PZ,71009
